factor_id,economic_family,economic_concept_key,specification,expected_direction,required_fields,stage,evidence_status
book_to_price,VALUE,book_value_yield,book_equity / market_cap,HIGHER_IS_BETTER,book_equity|market_cap,CANDIDATE,UNREVIEWED
earnings_to_price,VALUE,earnings_yield,net_income / market_cap,HIGHER_IS_BETTER,market_cap|net_income,CANDIDATE,UNREVIEWED
fcf_to_ev,VALUE,free_cash_flow_yield,free_cash_flow / enterprise_value,HIGHER_IS_BETTER,enterprise_value|free_cash_flow,CANDIDATE,UNREVIEWED
ebitda_to_ev,VALUE,operating_earnings_yield,ebitda / enterprise_value,HIGHER_IS_BETTER,ebitda|enterprise_value,CANDIDATE,UNREVIEWED
sales_to_ev,VALUE,sales_yield,revenue / enterprise_value,HIGHER_IS_BETTER,enterprise_value|revenue,CANDIDATE,UNREVIEWED
gross_profit_to_assets,PROFITABILITY,gross_profitability,gross_profit / total_assets,HIGHER_IS_BETTER,gross_profit|total_assets,CANDIDATE,UNREVIEWED
roic,PROFITABILITY,return_on_invested_capital,after_tax_operating_profit / invested_capital,HIGHER_IS_BETTER,after_tax_operating_profit|invested_capital,CANDIDATE,UNREVIEWED
roa,PROFITABILITY,return_on_assets,net_income / average_total_assets,HIGHER_IS_BETTER,average_total_assets|net_income,CANDIDATE,UNREVIEWED
operating_profit_to_assets,PROFITABILITY,operating_profitability,operating_profit / total_assets,HIGHER_IS_BETTER,operating_profit|total_assets,CANDIDATE,UNREVIEWED
cfo_to_assets,QUALITY,cash_flow_quality,cash_from_operations / total_assets,HIGHER_IS_BETTER,cash_from_operations|total_assets,CANDIDATE,UNREVIEWED
accrual_quality,QUALITY,accrual_quality,accrual-based quality specification,HIGHER_IS_BETTER,accrual_inputs,CANDIDATE,UNREVIEWED
leverage_safety,QUALITY,balance_sheet_safety,leverage/safety specification,LOWER_IS_BETTER,debt|equity,CANDIDATE,UNREVIEWED
margin_stability,QUALITY,margin_stability,rolling operating-margin stability,HIGHER_IS_BETTER,operating_margin_history,CANDIDATE,UNREVIEWED
cash_conversion,QUALITY,cash_conversion,cash conversion specification,HIGHER_IS_BETTER,cash_conversion_inputs,CANDIDATE,UNREVIEWED
asset_growth,INVESTMENT_DISCIPLINE,asset_growth,change in total assets,LOWER_IS_BETTER,total_assets_current|total_assets_previous,CANDIDATE,UNREVIEWED
capex_growth,INVESTMENT_DISCIPLINE,capex_growth,change in capital expenditure,LOWER_IS_BETTER,capex_current|capex_previous,CANDIDATE,UNREVIEWED
working_capital_growth,INVESTMENT_DISCIPLINE,working_capital_growth,change in working capital,LOWER_IS_BETTER,working_capital_current|working_capital_previous,CANDIDATE,UNREVIEWED
share_issuance,INVESTMENT_DISCIPLINE,dilution,change in shares outstanding,LOWER_IS_BETTER,shares_current|shares_previous,CANDIDATE,UNREVIEWED
delta_roic,FUNDAMENTAL_ACCELERATION,roic_acceleration,change in ROIC,HIGHER_IS_BETTER,roic_current|roic_previous,CANDIDATE,UNREVIEWED
delta_gross_margin,FUNDAMENTAL_ACCELERATION,gross_margin_acceleration,change in gross margin,HIGHER_IS_BETTER,gross_margin_current|gross_margin_previous,CANDIDATE,UNREVIEWED
delta_operating_margin,FUNDAMENTAL_ACCELERATION,operating_margin_acceleration,change in operating margin,HIGHER_IS_BETTER,operating_margin_current|operating_margin_previous,CANDIDATE,UNREVIEWED
delta_cfo_to_assets,FUNDAMENTAL_ACCELERATION,cfo_assets_acceleration,change in CFO/assets,HIGHER_IS_BETTER,cfo_to_assets_current|cfo_to_assets_previous,CANDIDATE,UNREVIEWED
delta_asset_turnover,FUNDAMENTAL_ACCELERATION,asset_turnover_acceleration,change in asset turnover,HIGHER_IS_BETTER,asset_turnover_current|asset_turnover_previous,CANDIDATE,UNREVIEWED
earnings_acceleration,FUNDAMENTAL_ACCELERATION,earnings_acceleration,change in earnings growth rate,HIGHER_IS_BETTER,earnings_growth_current|earnings_growth_previous,CANDIDATE,UNREVIEWED
momentum_12_1,PRICE_MOMENTUM,medium_term_momentum,12-month return excluding most recent month,HIGHER_IS_BETTER,price_history_12m,CANDIDATE,UNREVIEWED
momentum_6_1,PRICE_MOMENTUM,medium_term_momentum,6-month return excluding most recent month,HIGHER_IS_BETTER,price_history_6m,CANDIDATE,UNREVIEWED
industry_momentum,PRICE_MOMENTUM,industry_momentum,industry-level momentum signal,HIGHER_IS_BETTER,industry_membership|industry_return_history,CANDIDATE,UNREVIEWED
momentum_change,PRICE_MOMENTUM,momentum_acceleration,change in momentum strength,HIGHER_IS_BETTER,momentum_history,CANDIDATE,UNREVIEWED
high_52w_proximity,PRICE_MOMENTUM,price_location,price proximity to 52-week high,HIGHER_IS_BETTER,price_history_52w,CANDIDATE,UNREVIEWED
sue,EARNINGS_MOMENTUM,earnings_surprise,standardized unexpected earnings,HIGHER_IS_BETTER,earnings_history|earnings_surprise_inputs,CANDIDATE,UNREVIEWED
eps_revision,EARNINGS_MOMENTUM,estimate_revision,analyst EPS estimate revision,HIGHER_IS_BETTER,eps_estimate_history,CANDIDATE,UNREVIEWED
